"state","year","cigsale","retprice","state_id"
"Colorado",1995,85.4,164.2,3
"Colorado",1996,83.1,169.6,3
"Colorado",1997,81.3,174.4,3
"Colorado",1998,81.2,185.8,3
"Colorado",1999,79.6,204.2,3
"Colorado",2000,73,281.3,3
"Connecticut",1970,120,42.2,4
"Connecticut",1971,117.6,45.5,4
"Connecticut",1972,110.8,51.3,4
"Connecticut",1973,109.3,50.6,4
"Connecticut",1974,112.4,52.5,4
"Connecticut",1975,110.2,54.5,4
"Connecticut",1976,113.4,57.6,4
"Connecticut",1977,117.3,58.4,4
"Connecticut",1978,117.5,61.7,4
"Connecticut",1979,117.4,64.4,4
"Connecticut",1980,118,67,4
"Connecticut",1981,116.4,80.1,4
"Connecticut",1982,114.7,85.6,4
"Connecticut",1983,114.1,95.6,4
"Connecticut",1984,112.5,113.5,4
"Connecticut",1985,111,118.6,4
"Connecticut",1986,108.5,118.5,4
"Connecticut",1987,109,122.7,4
"Connecticut",1988,104.8,129.7,4
"Connecticut",1989,100.6,142,4
"Connecticut",1990,91.5,171.2,4
"Connecticut",1991,86.7,175.6,4
"Connecticut",1992,83.5,193.5,4
"Connecticut",1993,79.1,202.3,4
"Connecticut",1994,76.6,205.6,4
"Connecticut",1995,79.3,205.4,4
"Connecticut",1996,76,206.3,4
"Connecticut",1997,75.9,208.5,4
"Connecticut",1998,75.5,217.9,4
"Connecticut",1999,73.4,236.5,4
"Connecticut",2000,71.4,312.3,4
"Delaware",1970,155,39,5
"Delaware",1971,161.1,41.3,5
"Delaware",1972,156.3,44.7,5
"Delaware",1973,154.7,44,5
"Delaware",1974,151.3,44.2,5
"Delaware",1975,147.6,45.9,5
"Delaware",1976,153,50.1,5
"Delaware",1977,153.3,51.7,5
"Delaware",1978,155.5,58.7,5
"Delaware",1979,150.2,60,5
"Delaware",1980,150.5,62.7,5
"Delaware",1981,152.6,66,5
"Delaware",1982,154.1,74.1,5
"Delaware",1983,149.6,82,5
"Delaware",1984,144,91.1,5
"Delaware",1985,144.5,98.7,5
"Delaware",1986,142.4,105.2,5
"Delaware",1987,141,111.4,5
"Delaware",1988,137.1,119.3,5
"Delaware",1989,131.7,124,5
"Delaware",1990,127.2,140,5
"Delaware",1991,118.8,143.2,5
"Delaware",1992,120,174.7,5
"Delaware",1993,123.8,187.9,5
"Delaware",1994,126.1,152.5,5
"Delaware",1995,127.2,160.7,5
"Delaware",1996,128.3,169.1,5
"Delaware",1997,124.1,171.9,5
"Delaware",1998,132.8,179.2,5
"Delaware",1999,139.5,198.3,5
"Delaware",2000,140.7,276.2,5
"Georgia",1970,109.9,34.3,6
"Georgia",1971,115.7,35.8,6
"Georgia",1972,117,40.9,6
"Georgia",1973,119.8,42.4,6
"Georgia",1974,123.7,42.4,6
"Georgia",1975,122.9,44.5,6
"Georgia",1976,125.9,47.9,6
"Georgia",1977,127.9,49.5,6
"Georgia",1978,130.6,54.7,6
"Georgia",1979,131,56.6,6
"Georgia",1980,134,59.3,6
"Georgia",1981,131.7,62.6,6
"Georgia",1982,131.2,67.8,6
"Georgia",1983,128.6,78.9,6
"Georgia",1984,126.3,86.8,6
"Georgia",1985,128.8,90.7,6
"Georgia",1986,129,100.1,6
"Georgia",1987,129.3,103.9,6
"Georgia",1988,124.1,109.2,6
"Georgia",1989,117.1,122.4,6
"Georgia",1990,113.8,132.3,6
"Georgia",1991,109.6,138.2,6
"Georgia",1992,109.2,159.5,6
"Georgia",1993,109.2,167.2,6
"Georgia",1994,107.8,147.8,6
"Georgia",1995,100.3,153.8,6
"Georgia",1996,102.7,156.1,6
"Georgia",1997,100.6,158.9,6
"Georgia",1998,100.5,168.7,6
"Georgia",1999,97.1,188,6
"Georgia",2000,88.4,257.4,6
"Idaho",1970,102.4,33.8,7
"Idaho",1971,108.5,33.6,7
"Idaho",1972,126.1,33.7,7
"Idaho",1973,121.8,36.3,7
"Idaho",1974,125.6,38,7
"Idaho",1975,123.3,40.3,7
"Idaho",1976,125.1,42.5,7
"Idaho",1977,125,45.6,7
"Idaho",1978,122.8,51.5,7
"Idaho",1979,117.5,55.4,7
"Idaho",1980,115.2,56.4,7
"Idaho",1981,114.1,59.2,7
"Idaho",1982,111.5,67.6,7
"Idaho",1983,111.3,76.5,7
"Idaho",1984,103.6,88.5,7
"Idaho",1985,100.7,97.6,7
"Idaho",1986,96.7,99.9,7
"Idaho",1987,95,107.1,7
"Idaho",1988,84.5,121.9,7
"Idaho",1989,78.4,133.6,7
"Idaho",1990,90.1,141.3,7
"Idaho",1991,85.4,144.4,7
"Idaho",1992,85.1,167.2,7
"Idaho",1993,86.7,171.2,7
"Idaho",1994,93,150.5,7
"Idaho",1995,78.2,163.5,7
"Idaho",1996,73.6,176.5,7
"Idaho",1997,75,184.4,7
"Idaho",1998,78.9,187.1,7
"Idaho",1999,75.1,210.7,7
"Idaho",2000,66.9,275.9,7
"Illinois",1970,124.8,41.4,8
"Illinois",1971,125.6,41.4,8
"Illinois",1972,126.6,41.9,8
"Illinois",1973,124.4,41,8
"Illinois",1974,131.9,41.9,8
"Illinois",1975,131.8,45.2,8
"Illinois",1976,134.4,48.4,8
"Illinois",1977,134,49.4,8
"Illinois",1978,136.7,54.6,8
"Illinois",1979,135.3,56.8,8
"Illinois",1980,135.2,60,8
"Illinois",1981,133,63.1,8
"Illinois",1982,130.7,69.6,8
"Illinois",1983,127.9,80.8,8
"Illinois",1984,124,89.6,8
"Illinois",1985,121.6,96.7,8
"Illinois",1986,118.2,108.4,8
"Illinois",1987,109.5,116.2,8
"Illinois",1988,107.6,124.1,8
"Illinois",1989,104.6,132.7,8
"Illinois",1990,94.1,147.3,8
"Illinois",1991,96.1,154,8
"Illinois",1992,94.8,179.8,8
"Illinois",1993,94.6,187.5,8
"Illinois",1994,85.7,182.1,8
"Illinois",1995,84.3,185.2,8
"Illinois",1996,81.8,188.7,8
"Illinois",1997,79.6,198.7,8
"Illinois",1998,80.3,202.3,8
"Illinois",1999,72.2,240.5,8
"Illinois",2000,70,312.7,8
"Indiana",1970,134.6,30.6,9
"Indiana",1971,139.3,32.2,9
"Indiana",1972,149.2,32.5,9
"Indiana",1973,156,32.9,9
"Indiana",1974,159.6,34.5,9
"Indiana",1975,162.4,36.7,9
"Indiana",1976,166.6,38.7,9
"Indiana",1977,173,40.6,9
"Indiana",1978,150.9,50,9
"Indiana",1979,148.9,52.5,9
"Indiana",1980,146.9,53.7,9
"Indiana",1981,148.5,58.3,9
"Indiana",1982,147.7,65.1,9
"Indiana",1983,143,75.7,9
"Indiana",1984,137.8,85.2,9
"Indiana",1985,135.3,88.8,9
"Indiana",1986,137.6,93.6,9
"Indiana",1987,134,100.1,9
"Indiana",1988,134,109.3,9
"Indiana",1989,132.5,119,9
"Indiana",1990,128.3,130.8,9
"Indiana",1991,127.2,135.8,9
"Indiana",1992,128.2,153.5,9
"Indiana",1993,126.8,157.5,9
"Indiana",1994,128.2,146.6,9
"Indiana",1995,135.4,146.3,9
"Indiana",1996,135.1,147.8,9
"Indiana",1997,135.3,156.3,9
"Indiana",1998,135.9,166.8,9
"Indiana",1999,133.3,190,9
"Indiana",2000,125.5,260.2,9
"Iowa",1970,108.5,37.7,10
"Iowa",1971,108.4,38.5,10
"Iowa",1972,109.4,41.9,10
"Iowa",1973,110.6,41.9,10
"Iowa",1974,116.1,43.2,10
"Iowa",1975,120.5,45.4,10
"Iowa",1976,124.4,47.8,10
"Iowa",1977,125.5,49.4,10
"Iowa",1978,127.1,54.6,10
"Iowa",1979,124.2,56.4,10
"Iowa",1980,124.6,58.8,10
"Iowa",1981,132.9,61.4,10
"Iowa",1982,116.2,72.8,10
"Iowa",1983,115.6,84,10
"Iowa",1984,111.2,93.3,10
"Iowa",1985,109.4,99.5,10
"Iowa",1986,104.1,104.8,10
"Iowa",1987,101.1,117.1,10
"Iowa",1988,100.2,124.2,10
"Iowa",1989,94.4,145.1,10
"Iowa",1990,95.4,149.6,10
"Iowa",1991,97.1,155.4,10
"Iowa",1992,95.2,178.5,10
"Iowa",1993,92.5,189.7,10
"Iowa",1994,93.4,171.4,10
"Iowa",1995,93,179,10
"Iowa",1996,94,183.8,10
"Iowa",1997,93.9,189.3,10
"Iowa",1998,94,193.8,10
"Iowa",1999,91.7,213,10
"Iowa",2000,88.9,286.3,10
"Kansas",1970,114,34.2,11
"Kansas",1971,102.8,38.9,11
"Kansas",1972,111,38.8,11
"Kansas",1973,115.2,39.3,11
"Kansas",1974,118.6,40.2,11
"Kansas",1975,123.4,42.7,11
"Kansas",1976,127.7,46.6,11
"Kansas",1977,127.9,48.1,11
"Kansas",1978,127.1,52.6,11
"Kansas",1979,126.4,54.8,11
"Kansas",1980,127.1,58.3,11
"Kansas",1981,132,59.8,11
"Kansas",1982,130.9,65.1,11
"Kansas",1983,127.6,77,11
"Kansas",1984,121.7,91,11
"Kansas",1985,115.7,97.5,11
"Kansas",1986,109.4,103,11
"Kansas",1987,105.2,114.5,11
"Kansas",1988,103.2,123.9,11
"Kansas",1989,96.5,136.5,11
"Kansas",1990,94.3,145.8,11
"Kansas",1991,91.8,152.7,11
"Kansas",1992,90,174.2,11
"Kansas",1993,89.9,174.2,11
"Kansas",1994,89.1,159.6,11
"Kansas",1995,90.1,165.7,11
"Kansas",1996,88.7,167.7,11
"Kansas",1997,89.2,171.3,11
"Kansas",1998,87.6,184.3,11
"Kansas",1999,83.3,207,11
"Kansas",2000,79.8,271.2,11
"Kentucky",1970,155.8,28.3,12
"Kentucky",1971,163.5,30.1,12
"Kentucky",1972,179.4,30.6,12
"Kentucky",1973,201.9,30.6,12
"Kentucky",1974,212.4,31.5,12
"Kentucky",1975,223,33.3,12
"Kentucky",1976,230.9,36,12
"Kentucky",1977,229.4,36.9,12
"Kentucky",1978,224.7,41.4,12
"Kentucky",1979,214.9,43.4,12
"Kentucky",1980,215.3,46.3,12
"Kentucky",1981,209.7,49.4,12
"Kentucky",1982,210.6,56.3,12
"Kentucky",1983,201.1,66.4,12
"Kentucky",1984,183.2,75.4,12
"Kentucky",1985,182.4,79.3,12
"Kentucky",1986,179.8,85.4,12
"Kentucky",1987,171.2,90.5,12
"Kentucky",1988,173.2,94.4,12
"Kentucky",1989,171.6,103.8,12
"Kentucky",1990,182.5,115.6,12
"Kentucky",1991,170.4,120.5,12
"Kentucky",1992,167.6,135.8,12
"Kentucky",1993,167.6,145.4,12
"Kentucky",1994,170.1,132.8,12
"Kentucky",1995,175.3,134.8,12
"Kentucky",1996,179,139.8,12
"Kentucky",1997,186.8,145.6,12
"Kentucky",1998,171.3,155.7,12
"Kentucky",1999,165.3,179.2,12
"Kentucky",2000,156.2,243.4,12
"Louisiana",1970,115.9,34.3,13
"Louisiana",1971,119.8,39.3,13
"Louisiana",1972,125.3,40,13
"Louisiana",1973,126.7,39.9,13
"Louisiana",1974,129.9,41.6,13
"Louisiana",1975,133.6,44.3,13
"Louisiana",1976,139.6,48.1,13
"Louisiana",1977,140,48.9,13
"Louisiana",1978,142.7,54.2,13
"Louisiana",1979,140.1,57.1,13
"Louisiana",1980,143.8,60,13
"Louisiana",1981,144,62.6,13
"Louisiana",1982,143.9,70.3,13
"Louisiana",1983,133.7,80.7,13
"Louisiana",1984,128.9,90.7,13
"Louisiana",1985,125,103,13
"Louisiana",1986,121.2,105.1,13
"Louisiana",1987,116.5,117.8,13
"Louisiana",1988,110.9,120.4,13
"Louisiana",1989,103.6,130.7,13
"Louisiana",1990,101.5,143.4,13
"Louisiana",1991,107.2,149.6,13
"Louisiana",1992,108.5,178.1,13
"Louisiana",1993,106.2,180.5,13
"Louisiana",1994,105.3,157.4,13
"Louisiana",1995,105.7,155.8,13
"Louisiana",1996,106.8,165.3,13
"Louisiana",1997,105.3,166.9,13
"Louisiana",1998,103.2,185.9,13
"Louisiana",1999,101,208,13
"Louisiana",2000,104.3,281.2,13
"Maine",1970,128.5,38,14
"Maine",1971,133.2,38.8,14
"Maine",1972,136.5,41.5,14
"Maine",1973,138,41,14
"Maine",1974,142.1,41.8,14
"Maine",1975,140.7,46.7,14
"Maine",1976,144.9,49.9,14
"Maine",1977,145.6,50.9,14
"Maine",1978,143.9,55,14
"Maine",1979,138.5,54.5,14
"Maine",1980,141.2,59,14
"Maine",1981,138.9,62.9,14
"Maine",1982,139.5,69.7,14
"Maine",1983,135.4,80.8,14
"Maine",1984,135.5,93.7,14
"Maine",1985,127.9,98.1,14
"Maine",1986,119,112.7,14
"Maine",1987,125,121.2,14
"Maine",1988,125,129,14
"Maine",1989,122.4,144.4,14
"Maine",1990,117.5,160.1,14
"Maine",1991,116.1,165.8,14
"Maine",1992,114.5,187.7,14
"Maine",1993,108.5,192.6,14
"Maine",1994,101.6,178.3,14
"Maine",1995,102.3,184.9,14
"Maine",1996,100,186.9,14
"Maine",1997,101.1,190.2,14
"Maine",1998,94.5,219.6,14
"Maine",1999,85.5,267.8,14
"Maine",2000,82.9,330.5,14
"Minnesota",1970,104.3,39.1,15
"Minnesota",1971,116.4,40.1,15
"Minnesota",1972,96.8,45.2,15
"Minnesota",1973,106.8,45.6,15
"Minnesota",1974,110.6,47,15
"Minnesota",1975,111.5,49.4,15
"Minnesota",1976,116.7,52.1,15
"Minnesota",1977,117.2,53.1,15
"Minnesota",1978,118.9,57.9,15
"Minnesota",1979,118.3,60.9,15
"Minnesota",1980,117.7,63,15
"Minnesota",1981,120.8,65.8,15
"Minnesota",1982,119.4,71.7,15
"Minnesota",1983,113.2,87.3,15
"Minnesota",1984,110.8,99.2,15
"Minnesota",1985,113,101.5,15
"Minnesota",1986,104.3,116.3,15
"Minnesota",1987,108.8,120.1,15
"Minnesota",1988,94.1,141.7,15
"Minnesota",1989,92.3,152.5,15
"Minnesota",1990,90.7,162.3,15
"Minnesota",1991,86.2,173.9,15
"Minnesota",1992,83.8,197.7,15
"Minnesota",1993,81.6,215.6,15
"Minnesota",1994,83.4,196.1,15
"Minnesota",1995,84.1,202.2,15
"Minnesota",1996,81.7,208.6,15
"Minnesota",1997,84.1,216.8,15
"Minnesota",1998,83.2,220.2,15
"Minnesota",1999,80.7,227.4,15
"Minnesota",2000,76,303.6,15
"Mississippi",1970,93.4,36.2,16
"Mississippi",1971,105.4,37.5,16
"Mississippi",1972,112.1,37.4,16
"Mississippi",1973,115,37.3,16
"Mississippi",1974,117.1,41.4,16
"Mississippi",1975,116.8,43,16
"Mississippi",1976,120.9,46.4,16
"Mississippi",1977,122.1,48.8,16
"Mississippi",1978,124.9,53.6,16
"Mississippi",1979,123.9,56.5,16
"Mississippi",1980,127,59.7,16
"Mississippi",1981,125.3,63,16
"Mississippi",1982,125.8,69.2,16
"Mississippi",1983,122.3,78.6,16
"Mississippi",1984,116.4,89,16
"Mississippi",1985,115.3,96.4,16
"Mississippi",1986,113.2,106,16
"Mississippi",1987,110,115.8,16
"Mississippi",1988,109,122.6,16
"Mississippi",1989,108.3,125.8,16
"Mississippi",1990,101.8,139.9,16
"Mississippi",1991,105.6,142.7,16
"Mississippi",1992,103.9,160.8,16
"Mississippi",1993,105.4,177.8,16
"Mississippi",1994,106,156.9,16
"Mississippi",1995,107.5,153.9,16
"Mississippi",1996,106.9,161.2,16
"Mississippi",1997,106.3,168.6,16
"Mississippi",1998,107,175.8,16
"Mississippi",1999,103.9,199.5,16
"Mississippi",2000,97.2,272,16
"Missouri",1970,121.3,36,17
"Missouri",1971,127.6,36.8,17
"Missouri",1972,130,37.7,17
"Missouri",1973,132.1,37.7,17
"Missouri",1974,135.4,38,17
"Missouri",1975,135.6,43.5,17
"Missouri",1976,139.5,44.7,17
"Missouri",1977,140.8,45.9,17
"Missouri",1978,141.8,49.9,17
"Missouri",1979,140.2,52.2,17
"Missouri",1980,142.1,57.3,17
"Missouri",1981,140.5,59.9,17
"Missouri",1982,139.7,64.7,17
"Missouri",1983,134.1,74.8,17
"Missouri",1984,130,84.8,17
"Missouri",1985,129.2,93.7,17
"Missouri",1986,128.8,101.9,17
"Missouri",1987,128.7,108.5,17
"Missouri",1988,127.4,114.6,17
"Missouri",1989,122.8,118.9,17
"Missouri",1990,119.1,129.1,17
"Missouri",1991,119.9,132.5,17
"Missouri",1992,122.3,153.1,17
"Missouri",1993,121.6,157.6,17
"Missouri",1994,119.4,146.8,17
"Missouri",1995,124,150.3,17
"Missouri",1996,124.1,159.8,17
"Missouri",1997,120.6,163.4,17
"Missouri",1998,120.1,173.8,17
"Missouri",1999,118,197,17
"Missouri",2000,113.8,258.8,17
"Montana",1970,111.2,34,18
"Montana",1971,115.6,34.7,18
"Montana",1972,122.2,40.1,18
"Montana",1973,119.9,40.9,18
"Montana",1974,121.9,41.8,18
"Montana",1975,123.7,43.7,18
"Montana",1976,124.9,45.3,18
"Montana",1977,127,47.6,18
"Montana",1978,127.2,51.9,18
"Montana",1979,120.3,53.7,18
"Montana",1980,122,56.7,18
"Montana",1981,121.1,60.4,18
"Montana",1982,122.4,65.7,18
"Montana",1983,113.7,77.2,18
"Montana",1984,110.1,91.3,18
"Montana",1985,103.6,95.5,18
"Montana",1986,97.8,102,18
"Montana",1987,91.7,106.2,18
"Montana",1988,87.1,115.3,18
"Montana",1989,86.2,123,18
"Montana",1990,84.7,140.4,18
"Montana",1991,82.9,143.6,18
"Montana",1992,86.6,163.5,18
"Montana",1993,86,179.4,18
"Montana",1994,88.2,151.3,18
"Montana",1995,90.5,155.4,18
"Montana",1996,87.3,156.8,18
"Montana",1997,88.9,164.9,18
"Montana",1998,89.1,175.4,18
"Montana",1999,82.6,196.2,18
"Montana",2000,75.5,260.7,18
"Nebraska",1970,108.1,33.9,19
"Nebraska",1971,108.6,34.7,19
"Nebraska",1972,104.9,41.1,19
"Nebraska",1973,106.6,41.2,19
"Nebraska",1974,110.5,42,19
"Nebraska",1975,114.1,44.6,19
"Nebraska",1976,118.1,46.8,19
"Nebraska",1977,117.7,48.1,19
"Nebraska",1978,117.4,53.6,19
"Nebraska",1979,116.1,55.4,19
"Nebraska",1980,116.3,59.5,19
"Nebraska",1981,117,60.9,19
"Nebraska",1982,117.1,69.7,19
"Nebraska",1983,110.8,83.7,19
"Nebraska",1984,107.7,94.8,19
"Nebraska",1985,105.1,95.8,19
"Nebraska",1986,103.1,104,19
"Nebraska",1987,101.3,113.7,19
"Nebraska",1988,92.9,123.3,19
"Nebraska",1989,93.8,139.3,19
"Nebraska",1990,89.9,143.4,19
"Nebraska",1991,92.4,152.2,19
"Nebraska",1992,90.6,169.5,19
"Nebraska",1993,91.1,177.2,19
"Nebraska",1994,85.9,169.6,19
"Nebraska",1995,88.5,170.7,19
"Nebraska",1996,86.2,175.5,19
"Nebraska",1997,85.5,184.8,19
"Nebraska",1998,83.1,194.6,19
"Nebraska",1999,86.6,214.6,19
"Nebraska",2000,77.6,288.3,19
"Nevada",1970,189.5,38.9,20
"Nevada",1971,190.5,44,20
"Nevada",1972,198.6,40.6,20
"Nevada",1973,201.5,40.3,20
"Nevada",1974,204.7,41.9,20
"Nevada",1975,205.2,44.5,20
"Nevada",1976,201.4,44.9,20
"Nevada",1977,190.8,49.3,20
"Nevada",1978,187,54.3,20
"Nevada",1979,183.3,57.1,20
"Nevada",1980,177.7,63.1,20
"Nevada",1981,171.9,63.3,20
"Nevada",1982,165.1,71.6,20
"Nevada",1983,159.2,81.9,20
"Nevada",1984,136.6,99.8,20
"Nevada",1985,146.7,109.3,20
"Nevada",1986,142.6,106.6,20
"Nevada",1987,147.7,114,20
"Nevada",1988,141.9,129.6,20
"Nevada",1989,137.9,145.6,20
"Nevada",1990,137.3,173.7,20
"Nevada",1991,115.5,186.3,20
"Nevada",1992,110,193.8,20
"Nevada",1993,108.1,196.8,20
"Nevada",1994,105.2,190.3,20
"Nevada",1995,100.9,190.4,20
"Nevada",1996,99,195,20
"Nevada",1997,95.6,198.5,20
"Nevada",1998,102.4,200.6,20
"Nevada",1999,103.9,225.8,20
"Nevada",2000,93.2,303.5,20
"New Hampshire",1970,265.7,31.4,21
"New Hampshire",1971,278,34.1,21
"New Hampshire",1972,296.2,36.1,21
"New Hampshire",1973,279,36.9,21
"New Hampshire",1974,269.8,37.9,21
"New Hampshire",1975,269.1,40.8,21
"New Hampshire",1976,290.5,43.9,21
"New Hampshire",1977,278.8,45,21
"New Hampshire",1978,269.6,49.7,21
"New Hampshire",1979,254.6,53.2,21
"New Hampshire",1980,247.8,55.3,21
"New Hampshire",1981,245.4,58.4,21
"New Hampshire",1982,239.8,67,21
"New Hampshire",1983,232.9,74.7,21
"New Hampshire",1984,215.1,90.5,21
"New Hampshire",1985,201.1,89.2,21
"New Hampshire",1986,195.9,100,21
"New Hampshire",1987,195.1,102,21
"New Hampshire",1988,180.4,113.5,21
"New Hampshire",1989,172.9,125.9,21
"New Hampshire",1990,152.4,135.9,21
"New Hampshire",1991,144.8,153.9,21
"New Hampshire",1992,143.7,164.4,21
"New Hampshire",1993,148.9,181.1,21
"New Hampshire",1994,153.8,157.8,21
"New Hampshire",1995,158.5,163.9,21
"New Hampshire",1996,158,168.6,21
"New Hampshire",1997,174.4,176.6,21
"New Hampshire",1998,173.8,197,21
"New Hampshire",1999,171.7,222.8,21
"New Hampshire",2000,147.3,313.9,21
"New Mexico",1970,90,39.7,22
"New Mexico",1971,92.6,41.7,22
"New Mexico",1972,99.3,41.1,22
"New Mexico",1973,98.9,41.8,22
"New Mexico",1974,100.3,43.7,22
"New Mexico",1975,103.1,46.3,22
"New Mexico",1976,102.4,49.5,22
"New Mexico",1977,102.4,51.6,22
"New Mexico",1978,103.1,56,22
"New Mexico",1979,101,57.6,22
"New Mexico",1980,102.7,62.6,22
"New Mexico",1981,103,63,22
"New Mexico",1982,97.5,69.4,22
"New Mexico",1983,96.3,79.6,22
"New Mexico",1984,88.9,90.2,22
"New Mexico",1985,88,97.5,22
"New Mexico",1986,88.2,101.2,22
"New Mexico",1987,82.3,110.2,22
"New Mexico",1988,77.7,113.7,22
"New Mexico",1989,74.4,127.2,22
"New Mexico",1990,70.8,133.6,22
"New Mexico",1991,69.9,146.9,22
"New Mexico",1992,71.4,165.4,22
"New Mexico",1993,69,172.2,22
"New Mexico",1994,68.2,158.4,22
"New Mexico",1995,67,163.5,22
"New Mexico",1996,65.7,170.8,22
"New Mexico",1997,61.8,176,22
"New Mexico",1998,62.6,183.8,22
"New Mexico",1999,59.7,201.8,22
"New Mexico",2000,53.8,279.8,22
"North Carolina",1970,172.4,27.3,23
"North Carolina",1971,187.6,29.4,23
"North Carolina",1972,214.1,28.7,23
"North Carolina",1973,226.5,28.9,23
"North Carolina",1974,227.3,30.1,23
"North Carolina",1975,226,32.9,23
"North Carolina",1976,230.2,35.8,23
"North Carolina",1977,217,36.6,23
"North Carolina",1978,205.5,41.8,23
"North Carolina",1979,197.3,43.7,23
"North Carolina",1980,187.8,47.3,23
"North Carolina",1981,179.3,50,23
"North Carolina",1982,179,55.5,23
"North Carolina",1983,169.8,66,23
"North Carolina",1984,160.6,75,23
"North Carolina",1985,156.3,78.9,23
"North Carolina",1986,154.4,83.7,23
"North Carolina",1987,150.5,90.6,23
"North Carolina",1988,146,96,23
"North Carolina",1989,139.3,107.6,23
"North Carolina",1990,133.7,116.4,23
"North Carolina",1991,132.7,126.6,23
"North Carolina",1992,128.9,145,23
"North Carolina",1993,129.7,153.5,23
"North Carolina",1994,112.7,135.9,23
"North Carolina",1995,124.9,142.3,23
"North Carolina",1996,129.7,145.6,23
"North Carolina",1997,125.6,152,23
"North Carolina",1998,126,167.6,23
